opis_id,name,address,city,state,latitude,longitude,price_mean,price_min,price_max,price_sample_count
7768,BIG D #30,"I-25/US-87, EXIT 9 & I-80, EXIT 359C & I-80 BUS/US-30",Cheyenne,WY,41.127270,-104.790220,3.204000,3.204000,3.204000,1
7792,FLYING J TRAVEL PLAZA #630,"I-75/SR-401, EXIT 201 & SR-36",Jackson,GA,33.292359,-83.967846,3.384000,3.384000,3.384000,1
7798,CIRCLE K #2745100,"I-95, EXIT 7",Woodbine,GA,30.959855,-81.718098,3.232333,3.232333,3.232333,1
7825,PILOT TRAVEL CENTERS #356,"I-65, EXIT 121",Shepherdsville,KY,37.981425,-85.702007,3.609000,3.609000,3.609000,1
7838,PILOT #581,"US-52/SR-55, & 117TH ST, MM300",Inver Grove Heights,MN,44.829015,-93.060072,3.579000,3.579000,3.579000,1
7871,STRIPES 7FLEET #42454,"US-60, US-70 & US-84",Texico,NM,34.389212,-103.050682,3.829000,3.829000,3.829000,1
7873,One9 #387,"I-80, EXIT 280 & SR- 278",Carlin,NV,40.719013,-116.108045,3.439000,3.439000,3.439000,1
7886,PETRO STOPPING CENTER #357,"I-70, EXIT 156B & US-40",New Paris,OH,39.856678,-84.791916,3.487333,3.487333,3.487333,1
7930,I 24 TRUCK PLAZA,"I-24, EXIT 114 & US-41",Manchester,TN,35.464125,-86.072895,3.099000,3.099000,3.099000,1
7946,PILOT TRAVEL CENTERS #289,"I-90/I-39, EXIT 158 & I-43/SR-81, EXIT 1",Beloit,WI,42.523506,-89.017660,3.799000,3.799000,3.799000,1
7959,SPF #45,"I-25/US-87, EXIT 7 & US-212",Cheyenne,WY,41.127270,-104.790220,3.225667,3.225667,3.225667,1
8840,LOVES TRAVEL STOP #211,"I-35, EXIT 120",Oklahoma City,OK,35.467079,-97.513657,3.255667,3.255667,3.255667,1
8895,PAULS VALLEY TRAVEL CENTER,"I-35, EXIT 72  & SR-19",Pauls Valley,OK,34.710206,-97.224027,2.999000,2.999000,2.999000,1
8927,LOVES TRAVEL STOP #219,"I-40, EXIT 200",Seminole,OK,35.234772,-96.649329,3.362333,3.362333,3.362333,1
8936,CIRCLE K #107,US-220 & CR-902,Ridgeway,VA,36.578174,-79.858290,3.399000,3.399000,3.399000,1
8948,PARK N PUMP CIRCLE C,"I-15, EXIT 222",Nephi,UT,39.704697,-111.833350,3.449000,3.449000,3.449000,1
8961,FLYING J TRAVEL PLAZA #736,"I-20, EXIT 42 & US-285",Pecos,TX,31.471918,-103.701761,3.465667,3.465667,3.465667,1
8977,LOVES TRAVEL STOP #168,"I-44, EXIT 20",Walters,OK,34.358433,-98.356883,3.194000,3.194000,3.194000,1
8987,LOVES TRAVEL STOP #255,"I-40, EXIT 287 & SR-100",Webbers Falls,OK,35.517003,-95.164221,3.789000,3.789000,3.789000,1
9160,PILOT TRAVEL CENTERS #912,"I-80, EXIT 300 & SR-40D",Wood River,NE,40.819572,-98.604175,3.282333,3.282333,3.282333,1
9161,TREXLER PLAZA TRUCK STOP,I-78/US-22,Allentown,PA,40.593648,-75.478393,3.632333,3.632333,3.632333,1
9206,CIRCLE K #4707005,US-2 & SR-4,Farmington,ME,44.668373,-70.144039,3.899000,3.899000,3.899000,1
9216,309 TRUCK STOP,SR-309,Coopersburg,PA,40.510368,-75.391920,3.759000,3.759000,3.759000,1
9241,7-ELEVEN #40286,"I-76,  EXIT 23/312",Elverson,PA,40.153719,-75.830826,3.889000,3.889000,3.889000,1
9280,ONVO TRAVEL PLAZA - LAKEWOOD,"I-84, EXIT 20 & SR-507",Greentown,PA,41.321755,-75.305459,3.545667,3.545667,3.545667,1
9289,ONVO EXPRESS,"I-81, EXIT 217 & SR-547",Harford,PA,41.781996,-75.706221,3.609000,3.609000,3.609000,1
9340,LANCASTER TRAVEL PLAZA,US-30,Ronks,PA,40.028441,-76.176080,3.899000,3.899000,3.899000,1
9354,BFS FOODS TRUCK PLAZA,"I-79, EXIT 1",Mount Morris,PA,39.733250,-80.081989,4.499000,4.499000,4.499000,1
9365,FLYING J TRAVEL PLAZA #713,"I-95, EXIT 181",Latta,SC,34.338940,-79.433564,3.349000,3.349000,3.349000,1
9381,SCOTT FUEL TRAVEL PLAZA,"I-81, EXIT 199",Dalton,PA,41.537610,-75.738270,3.599000,3.599000,3.599000,1
9382,PILOT TRAVEL CENTERS #286,"I-70, EXIT 10 & SR-127",Eaton,OH,39.750107,-84.634469,3.462333,3.462333,3.462333,1
9383,PILOT TRAVEL CENTERS #285,"I-70, EXIT 126 & SR-37",Hebron,OH,39.965248,-82.486506,3.445667,3.445667,3.445667,1
9386,PETRO STOPPING CENTER #325,"I-75,  EXIT 167",North Baltimore,OH,41.179755,-83.668259,3.270667,3.270667,3.270667,1
9403,PILOT TRAVEL CENTERS #280,"I-78, EXIT 7 & SR-173",Bloomsbury,NJ,40.656886,-75.076225,3.809000,3.809000,3.809000,1
9415,7-ELEVEN #40287,"I-76, EXIT 24A/326",Wayne,PA,40.039604,-75.392660,3.889000,3.889000,3.889000,1
9423,PETRO STOPPING CENTER #318,"I-70, EXIT 148",Kingdom City,MO,38.947306,-91.935419,3.057333,3.057333,3.057333,1
9449,CORNER PANTRY #127,"I-26, EXIT 115 & US-321",West Columbia,SC,33.990130,-81.099354,3.412333,3.412333,3.412333,1
9451,TA BETO JUNCTION TRAVEL CENTER,"I-35, EXIT 155 & US-75",Lebo,KS,38.416179,-95.862482,3.230667,3.230667,3.230667,1
