name,state,latitude,longitude,area_sqmi,tier
DUTCH HARBOR,AK,53.889800,-166.542200,0.0000,-1
EAGLE,AK,64.781256,-141.197829,0.8810,3
EAGLE HARBOR HISTORICAL,AK,57.433889,-152.723889,0.0000,-1
EAGLE RIVER,AK,61.321389,-149.567778,0.0000,-1
EAGLE VILLAGE,AK,64.743389,-141.113834,17.0000,3
EARECKSON STATION,AK,52.721060,174.107149,5.4850,3
EAST CHESTER,AK,61.205000,-149.863889,0.0000,-1
EAST FORK,AK,64.692778,-164.276389,0.0000,-1
EDNA BAY,AK,55.967618,-133.692253,21.1450,3
EEK,AK,60.216265,-162.041999,0.6480,3
EGAVIK,AK,64.040278,-160.922500,0.0000,-1
EGEGIK,AK,58.205148,-157.521978,29.5510,3
EGORKOVSKOI,AK,53.563889,-168.000000,0.0000,-1
EIELSON AFB,AK,64.673300,-147.059464,29.8930,3
EKILIGAMUT HISTORICAL,AK,59.083333,-160.366667,0.0000,-1
EKILIK HISTORICAL,AK,59.183333,-160.316667,0.0000,-1
EKLUTNA,AK,61.458056,-149.362222,0.0000,-1
EKUK,AK,58.803510,-158.553385,0.0000,-1
EKWOK,AK,59.345782,-157.487023,16.7450,3
ELDORADO CAMP HISTORICAL,AK,65.059444,-147.522500,0.0000,-1
ELEPHANT POINT,AK,66.259722,-161.346111,0.0000,-1
ELEUTAK HISTORICAL,AK,62.486111,-164.870833,0.0000,-1
ELFIN COVE,AK,58.087681,-136.288309,168.3530,3
ELILAKOK HISTORICAL,AK,59.550000,-157.083333,0.0000,-1
ELIM,AK,64.618226,-162.276560,2.6590,3
ELLAMAR,AK,60.895556,-146.697500,0.0000,-1
ELUPAK HISTORICAL,AK,70.130000,-143.735000,0.0000,-1
EMMONAK,AK,62.775590,-164.509290,4.9660,3
ENGINEER HISTORICAL,AK,64.933333,-147.666667,0.0000,-1
ENTRANCE ISLAND,AK,57.412222,-133.441111,0.0000,-1
ESKA,AK,61.737778,-148.908611,0.0000,-1
ESPENBERG,AK,66.592778,-163.964722,0.0000,-1
ESTER,AK,64.879056,-148.041153,64.2360,3
EUREKA,AK,65.179444,-150.214444,0.0000,-1
EUREKA ROADHOUSE,AK,61.958507,-147.155104,185.7790,3
EVANSVILLE,AK,66.932933,-151.370060,22.9770,3
EXCURSION INLET,AK,58.415144,-135.345462,56.4130,3
EYAK HISTORICAL,AK,60.526294,-145.635116,0.0000,-1
FAIRBANKS,AK,64.836531,-147.651745,31.7460,3
FAIRBANKS NORTH STAR CENSUS SUBAREA,AK,64.670454,-146.496061,7334.7520,1
FAIRHAVEN,AK,58.378056,-134.703611,0.0000,-1
FAIRVIEW,AK,61.226667,-149.798611,0.0000,-1
FAITH CREEK HISTORICAL,AK,65.288889,-146.379167,0.0000,-1
FALLS,AK,60.420000,-149.370278,0.0000,-1
FALSE PASS,AK,54.872441,-163.334268,25.0700,3
FARM LOOP,AK,61.635115,-149.155223,9.1060,3
FARMERS LOOP,AK,64.908228,-147.698608,21.7950,3
FERRY,AK,64.049620,-148.920602,63.6030,3
FINK CREEK,AK,65.895556,-163.018611,0.0000,-1
FISH CREEK HISTORICAL,AK,58.330556,-134.591667,0.0000,-1
FISH LAKE,AK,62.245000,-150.096111,0.0000,-1
FISH VILLAGE,AK,59.947222,-154.858333,0.0000,-1
FISHHOOK,AK,61.731248,-149.283642,65.0860,3
FLAT,AK,62.441366,-158.040554,160.2690,3
FLUME CREEK,AK,64.990278,-142.425833,0.0000,-1
FOLGER,AK,63.561667,-156.083333,0.0000,-1
FORT GREELY,AK,63.967834,-145.714882,11.0250,3
FORT RICHARDSON,AK,61.254444,-149.688333,0.0000,-1
FORT SAINT MICHAEL HISTORICAL,AK,57.297222,-135.369444,0.0000,-1
FORT YUKON,AK,66.588406,-145.227642,6.7440,3
FOUR MILE ROAD,AK,64.604476,-149.115192,1.1560,3
FOX,AK,64.974859,-147.609007,12.9920,3
FOX RIVER,AK,59.892246,-151.012379,125.3910,3
FRESHWATER BAY,AK,57.891667,-135.079444,0.0000,-1
FRITZ CREEK,AK,59.746867,-151.288605,53.9550,3
FUNNY RIVER,AK,60.484313,-150.788736,26.7140,3
FUNTER,AK,58.256389,-134.895833,0.0000,-1
GAKONA,AK,62.368038,-145.305188,60.6310,3
GAKONA JUNCTION,AK,62.288611,-145.351389,0.0000,-1
GALENA,AK,64.741422,-156.873394,17.6530,3
GAMBELL,AK,63.775872,-171.714835,10.5050,3
GAME CREEK,AK,58.050105,-135.512547,5.8920,3
GANES CREEK,AK,63.089722,-156.430556,0.0000,-1
GANTEGASTAKI HISTORICAL,AK,59.250000,-135.520833,0.0000,-1
GARNER,AK,63.829167,-148.973333,0.0000,-1
GATEWAY,AK,61.566857,-149.222683,18.3640,3
GEORGETOWN,AK,61.893889,-157.717778,0.0000,-1
GILMORE HISTORICAL,AK,64.989167,-147.536111,0.0000,-1
GILPATRICKS,AK,60.601389,-149.537500,0.0000,-1
GIRDWOOD,AK,60.942500,-149.166389,0.0000,-1
GIRWOOD HISTORICAL,AK,60.056944,-147.893056,0.0000,-1
GLACIER VIEW,AK,61.848035,-147.772591,232.0980,3
GLEN ALPS,AK,61.216667,-149.891667,0.0000,-1
GLENNALLEN,AK,62.153307,-145.840752,114.9630,3
GODDARD,AK,56.835278,-135.372778,0.0000,-1
GOLD CREEK,AK,62.756667,-149.693889,0.0000,-1
GOLDEN,AK,60.970000,-147.986111,0.0000,-1
GOLDEN CITY HISTORICAL,AK,65.031111,-147.466389,0.0000,-1
GOLDSTREAM,AK,64.942151,-148.027320,86.0000,3
GOLOVIN,AK,64.563902,-162.998943,4.1350,3
GONAHO HISTORICAL,AK,59.120126,-138.582176,0.0000,-1
GOODNEWS BAY,AK,59.127165,-161.575325,3.3340,3
GOODNEWS MINING CAMP,AK,58.926111,-161.730000,0.0000,-1
GORDON,AK,69.680000,-141.205833,0.0000,-1
GOST CREEK,AK,62.210556,-159.785833,0.0000,-1
GRAEHL,AK,64.850000,-147.700000,0.0000,-1
GRANDVIEW GARDENS,AK,61.208333,-149.813889,0.0000,-1
GRANT CREEK,AK,65.197500,-152.927222,0.0000,-1
GRAYLING,AK,62.896051,-160.112989,11.2290,3
GREEN ACRES,AK,61.186111,-149.841667,0.0000,-1
GRINDALL HISTORICAL,AK,55.450000,-132.150000,0.0000,-1
GULKANA,AK,62.215434,-145.444965,34.8840,3
GUSTAVUS,AK,58.434657,-135.728152,36.3580,3
HADLEY HISTORICAL,AK,55.534722,-132.286667,0.0000,-1
HAINES,AK,59.260434,-135.472169,13.2530,3
HAINES CENSUS SUBAREA,AK,59.098404,-135.575791,2343.6050,1
HALIBUT COVE,AK,59.569581,-151.223764,8.3200,3
HALLERSVILLE,AK,59.042778,-156.839444,0.0000,-1
HAMILTON,AK,62.896111,-163.894167,0.0000,-1
HAMILTON ACRES,AK,64.846944,-147.670556,0.0000,-1
HANILIK HISTORICAL,AK,52.440787,173.561850,0.0000,-1
HAPPY VALLEY,AK,59.898514,-151.528868,88.2010,3
HARDING,AK,64.381305,-146.530599,214.1520,2
HARDING BIRCH LAKES,AK,64.381305,-146.530599,214.1520,3
HARDING LAKE,AK,64.421259,-146.815518,0.0000,-1
HASTINGS CREEK HISTORICAL,AK,64.466667,-165.100000,0.0000,-1
HAWK INLET,AK,58.125833,-134.753056,0.0000,-1
HAYCOCK,AK,65.209722,-161.165556,0.0000,-1
HEALY,AK,63.959632,-148.970842,686.9640,3
HEALY LAKE,AK,64.009705,-144.681574,66.7600,3
HEDLUNDS HISTORICAL,AK,59.800000,-154.383333,0.0000,-1
HERENDEEN BAY,AK,55.768056,-160.685833,0.0000,-1
HERRING COVE,AK,55.325000,-131.522222,0.0000,-1
HETTA HISTORICAL,AK,55.172500,-132.576944,0.0000,-1
HIGHLAND PARK,AK,64.756944,-147.360556,0.0000,-1
HILLSIDE,AK,61.201667,-149.869444,0.0000,-1
HINAUHANS VILLAGE HISTORICAL,AK,56.710793,-132.119325,0.0000,-1
HOBART BAY,AK,57.417759,-133.306569,119.4260,3
HOGATZA,AK,66.189722,-155.717222,0.0000,-1
HOLBROOK HISTORICAL,AK,56.034444,-133.491111,0.0000,-1
HOLIKACHUK,AK,62.909722,-159.517500,0.0000,-1
HOLLIS,AK,55.515474,-132.701922,65.0610,3
HOLLIS HISTORICAL,AK,55.483889,-132.667500,0.0000,-1
HOLY CROSS,AK,62.185115,-159.858776,28.8330,3
HOMER,AK,59.647503,-151.513095,13.7870,3
HOMESITE PARK,AK,61.219167,-149.741111,0.0000,-1
HOOD BAY HISTORICAL,AK,57.382500,-134.398611,0.0000,-1
HOONAH,AK,58.122010,-135.431474,5.8680,3
HOONAH ANGOON CENSUS SUBAREA,AK,58.403336,-135.884909,6558.4490,1
HOOPER BAY,AK,61.509167,-166.111471,7.4970,3
HOPE,AK,60.886124,-149.632991,51.7210,3
HORSEFELD HISTORICAL,AK,62.000000,-141.150000,0.0000,-1
HORSESHOE BAY HISTORICAL,AK,60.019167,-147.939167,0.0000,-1
HOSPITAL VALLEY,AK,51.847778,-176.633056,0.0000,-1
HOUSTON,AK,61.615303,-149.800610,23.9400,3
HOWKAN HISTORICAL,AK,54.871111,-132.803333,0.0000,-1
HUGHES,AK,66.045217,-154.237627,3.0390,3
HUSLIA,AK,65.705524,-156.310953,15.7850,3
HUSSLIAKATNA HISTORICAL,AK,65.747553,-156.564659,0.0000,-1
HUSXA HISTORICAL,AK,51.848056,-177.106944,0.0000,-1
HYDABURG,AK,55.205842,-132.820438,0.2920,3
HYDER,AK,55.981530,-130.038166,17.1440,3
HYDER CENSUS SUBAREA,AK,55.956313,-130.183127,201.9320,1
IDITAROD,AK,62.544444,-158.095278,0.0000,-1
IGADAGIX HISTORICAL,AK,51.771667,-177.803333,0.0000,-1
IGIAK HISTORICAL,AK,61.617500,-165.933611,0.0000,-1
IGIAYAROK,AK,61.716667,-165.300000,0.0000,-1
IGIUGIG,AK,59.300989,-155.863275,21.0740,3
IGLOO HISTORICAL,AK,65.147778,-165.063333,0.0000,-1
IGNOK HISTORICAL,AK,62.210698,-159.785704,0.0000,-1
IGUSHIK,AK,58.710278,-158.890000,0.0000,-1
IKATAN,AK,54.750000,-163.308333,0.0000,-1
